QUESTION,ANSWER_A,ANSWER_B,ANSWER_C,ANSWER_D,ANSWERS,IMAGE
"--- ATMINTIES VALDYMAS ---",,,,,,
"Kuri atminties sritis yra naudojama dinaminiams kintamiesiems (sukurtiems su new arba malloc) saugoti C++ programoje?","Stekas","Krūva (heap)","Procesoriaus registrai","BIOS atmintis","B","https://en.wikipedia.org/wiki/Memory_management"
"Kas yra MMU (Memory Management Unit)?","Programinė įranga, valdanti operacinę sistemą","Techninės įrangos įrenginys, paverčiantis virtualius adresus į fizinius","Operatyvioji atmintis (RAM)","Atminties kortelė","B","https://en.wikipedia.org/wiki/Memory_management_unit"
"Kas yra puslapiavimas (paging)?","Programos vykdymas keliais žingsniais","Atminties skaidymas į vienodo dydžio blokus / puslapius","Failo skaidymas į keletą dalių","Disko defragmentacija","B","https://en.wikipedia.org/wiki/Memory_paging"
"Kurios iš pateiktų yra stako (stack) savybės?","Duomenys gali būti atlaisvinti tik iš galo","Nereikia kreiptis į OS","Galima atlaisvinti atmintį iš bet kur","Praktiškai neturi dydžio limitų","A, B","https://en.wikipedia.org/wiki/Stack-based_memory_allocation"
"Kuri operacija yra greitesnė: veiksmai su lokaliais ar globaliais kintamaisiais?","Su globaliais","Su lokaliais","Vienodu greičiu","Priklauso nuo OS","B","https://en.wikipedia.org/wiki/Local_variable"
"Kas yra išorinė fragmentacija?","Failo praradimas","Atsiranda daug tuščių blokų/puslapių atmintyje","Atminties pažeidimas dėl viruso","Disko padalijimas","B","https://en.wikipedia.org/wiki/Fragmentation_(computing)"
"Kurios yra pagrindinės virtualios atminties naudojimo priežastys?","Užtikrina duomenų saugumą tarp programų","Jeigu trūksta vietos RAM, duomenys gali būti perkelti į kietąjį diską","Supaprastina atminties valdymą","Padidina interneto greitį","A, B, C","https://en.wikipedia.org/wiki/Virtual_memory"
"--- PIPELINE (KONVEJERIS) ---",,,,,,
"Kas yra konvejeris (pipeline) procesoriaus kontekste?","Programos atminties valdymo struktūra","Įgyvendinimo technika, kai kelios instrukcijos vykdomos vienu metu","Spartinančioji atmintis","Sistemos magistralė","B","https://en.wikipedia.org/wiki/Instruction_pipelining"
"Kurie iš šių yra konvejerio konfliktų (hazards) tipai?","Struktūriniai konfliktai","Duomenų priklausomumo konfliktai","Valdymo nuoseklumo konfliktai","Tinklo konfliktai","A, B, C","https://en.wikipedia.org/wiki/Hazard_(computer_architecture)"
"Kodėl konvejeris geriau veikia su RISC nei CISC instrukcijomis?","RISC turi daugiau registrų","RISC instrukcijos paprastos ir atliekamos per vieną ciklą","CISC nepalaiko atminties","RISC nereikalauja elektros","B","https://en.wikipedia.org/wiki/Reduced_instruction_set_computer"
"Kas yra struktūrinis konfliktas konvejeryje?","Programos klaida","Aparatinės įrangos konfliktas, kai dvi instrukcijos bando pasiekti tą patį resursą","Operacinės sistemos klaida","Tinklo apkrova","B","https://en.wikipedia.org/wiki/Hazard_(computer_architecture)"
"Kurie iš pateiktų yra būdai padidinti procesoriaus greitį?","Tranzistorių kiekio didinimas","Spartinančiosios atminties naudojimas","Konvejerio architektūra","Disko talpos didinimas","A, B, C","https://en.wikipedia.org/wiki/Moore%27s_law"
"Kas atsitinka kontrolės konfliktų metu konvejeryje?","Sutrinka spartinančioji atmintis","Šuoliai ir programos šakos neleidžia vykti instrukcijoms nuosekliai","Programa nutraukiama","Atmintis fragmentuojasi","B","https://en.wikipedia.org/wiki/Branch_(computer_science)"
"--- DUOMENŲ BUFERIS ---",,,,,,
"Kas yra duomenų buferis?","Atmintis, skirta trumpam laikyti duomenis, kol jie perduodami iš vieno komponento į kitą","Procesoriaus registras","Tinklo įrenginys","Operacinė sistema","A","https://en.wikipedia.org/wiki/Data_buffer"
"Kuriais atvejais dažniausiai reikalingas duomenų buferis?","Greičio skirtumai tarp sistemos komponentų","Duomenys valdomi porcijomis / paketais","Įvyksta staigi duomenų apkrova","Procesoriaus apkrovai išmatuoti","A, B, C","https://en.wikipedia.org/wiki/Data_buffer"
"Kur dažniausiai naudojamas dvigubas buferis?","Vaizdo rodyme / perdavime, kad vaizdas būtų sklandus","Failų suspaudimui","Tinklo paketų skaičiavimui","Energijos taupymui","A","https://en.wikipedia.org/wiki/Multiple_buffering"
"Kas yra 'back buffer' dvigubame buferyje?","Atvaizduojamas ekrane esamas vaizdas","Vaizdo skaičiavimų rezultatams / kas piešiama sekančiame žingsnyje","Procesoriaus registras","Atsarginis tinklo buferis","B","https://en.wikipedia.org/wiki/Multiple_buffering"
"Kokia duomenų struktūra yra FIFO eilė?","Pridėjimas viename gale, išėjimas kitame (first in - first out)","Pridėjimas ir išėjimas tame pačiame gale (LIFO)","Atsitiktinė prieiga","Medžio struktūra","A","https://en.wikipedia.org/wiki/FIFO_(computing_and_electronics)"
"Kas yra 'front buffer' dvigubame buferyje?","Rodomas ekrane esamas vaizdas","Sekantis paišomas vaizdas","Garso buferis","Klaviatūros buferis","A","https://en.wikipedia.org/wiki/Framebuffer"
"--- UNIKODAS IR UTF-8 ---",,,,,,
"Kas yra Unikodas?","Programavimo kalba","Standartas, apibrėžiantis kiekvieno simbolio numerį","Failų formatas","Spalvų kodavimo sistema","B","https://en.wikipedia.org/wiki/Unicode"
"Kiek baitų ASCII simboliai užkoduojami UTF-8?","1 baitas","2 baitai","3 baitai","4 baitai","A","https://en.wikipedia.org/wiki/UTF-8"
"Kiek baitų reikia užkoduoti lietuvių abėcėlės raides (pvz. ą, č, ę) UTF-8?","1 baitas","2 baitai","3 baitai","4 baitai","B","https://en.wikipedia.org/wiki/UTF-8"
"Kiek baitų reikia užkoduoti japonų ir kinų raides UTF-8?","1 baitas","2 baitai","3 baitai","4 baitai","C","https://en.wikipedia.org/wiki/UTF-8"
"Kiek baitų UTF-8 naudoja emoji simboliams?","1 baitas","2 baitai","3 baitai","4 baitai","D","https://en.wikipedia.org/wiki/Emoji"
"Koks yra simbolio U+00C4 (Ä) UTF-8 antras baitas šešioliktainėje formoje?","84","C3","C4","A4","A","https://en.wikipedia.org/wiki/UTF-8"
"Kuo skiriasi Unikodas nuo UTF-8?","Niekuo nesiskiria","Unikodas apibrėžia simbolių numerius, UTF-8 - kaip juos užkoduoti į baitus","UTF-8 yra senesnis nei Unikodas","Unikodas naudojamas tik Windows","B","https://en.wikipedia.org/wiki/Character_encoding"
"--- IA-32 ---",,,,,,
"Kiek bendrosios paskirties registrų turi IA-32 architektūra pagrindinėms instrukcijoms?","4","6","8","16","C","https://en.wikipedia.org/wiki/IA-32"
"Kuri instrukcija įdeda reikšmę į steko viršų?","MOV","PUSH","POP","ADD","B","https://en.wikipedia.org/wiki/X86_instruction_listings"
"Kuri vėliava nustatoma, jeigu rezultatas yra lygus nuliui?","CF (Carry Flag)","ZF (Zero Flag)","OF (Overflow Flag)","SF (Sign Flag)","B","https://en.wikipedia.org/wiki/FLAGS_register"
"Kuris šuolis įvyks, jei CF = 1?","JZ","JC","JNZ","JO","B","https://en.wikipedia.org/wiki/X86_instruction_listings"
"Kuri vėliava nustatoma, jei įvyksta sveikųjų skaičių (signed) perpildymas?","ZF","CF","OF","DF","C","https://en.wikipedia.org/wiki/Overflow_flag"
"Kokia maksimali tiesiogiai adresuojamos atminties talpa IA-32 architektūroje?","2 GB","4 GB","8 GB","16 GB","B","https://en.wikipedia.org/wiki/IA-32"
"Kurie iš šių yra IA-32 instrukcijų tipai?","Aritmetinės (ADD, SUB)","Duomenų judėjimo (MOV, XCHG)","Kontrolės (JMP, CALL)","Tinklo (PING, SEND)","A, B, C","https://en.wikipedia.org/wiki/X86_instruction_listings"
"--- SPARTINANČIOJI ATMINTIS (CACHE) ---",,,,,,
"Kokia spartinančiosios atminties paskirtis?","Saugoti operacinės sistemos failus","Sumažinti laiko ir energijos sąnaudas tarp procesoriaus ir RAM","Padidinti disko talpą","Visiškai pakeisti RAM atmintį","B","https://en.wikipedia.org/wiki/CPU_cache"
"Kokia technologija dažniausiai naudojama spartinančiosios atminties realizacijai?","DRAM","SRAM","SSD","HDD","B","https://en.wikipedia.org/wiki/Static_random-access_memory"
"Kurios iš šių yra spartinančiosios atminties rūšys?","Instrukcijų spartinančioji atmintis (I-cache)","Duomenų spartinančioji atmintis (D-cache)","Vertimo retrospektyvusis buferis (TLB)","Tinklo spartinančioji atmintis","A, B, C","https://en.wikipedia.org/wiki/Translation_lookaside_buffer"
"Kiek lygių paprastai turi šiuolaikinė spartinančioji atmintis?","1","2-4 lygius","10","50+","B","https://en.wikipedia.org/wiki/CPU_cache"
"Iš ko sudaromas spartinančiosios atminties adresas?","Tik iš požymio bitų","Požymio bitai, aibės indeksas, offset bitai","Tik iš offset bitų","Iš procesoriaus instrukcijų","B","https://en.wikipedia.org/wiki/CPU_cache"
"Kas yra TLB (Translation Lookaside Buffer)?","Spartinančioji atmintis, kurioje saugomi virtualių adresų vertimai į fizinius","Programos kompiliatorius","Operacinės sistemos branduolys","Tinklo paketų buferis","A","https://en.wikipedia.org/wiki/Translation_lookaside_buffer"
"Kokios yra blokų talpinimo iš RAM į spartinančiąją atmintį strategijos?","Tiesioginio atitikimo","Pilnai asociatyvi","Dalinai asociatyvi","Atsitiktinė","A, B, C","https://en.wikipedia.org/wiki/Cache_placement_policies"
"--- MMX IR SSE ---",,,,,,
"Ką reiškia SIMD?","Single Instruction, Multiple Data","System Integrated Memory Device","Simple Input Multiple Devices","Sequential Instruction Memory Direction","A","https://en.wikipedia.org/wiki/Single_instruction,_multiple_data"
"Kiek MMX registrų yra ir kokie jų pavadinimai?","4 (MM0-MM3)","8 (MM0-MM7)","16 (MM0-MM15)","32 (MM0-MM31)","B","https://en.wikipedia.org/wiki/MMX_(instruction_set)"
"Kokio dydžio yra SSE XMM registrai?","32 bitų","64 bitų","128 bitų","256 bitų","C","https://en.wikipedia.org/wiki/Streaming_SIMD_Extensions"
"Kokie pagrindiniai MMX trūkumai dėl kurių buvo sukurtas SSE?","MMX yra FPU registrų dalis, negalima tuo pačiu metu naudoti su FPU","MMX dirba tik su sveikaisiais skaičiais","MMX yra per lėtas","MMX nesuderinama su Intel procesoriais","A, B","https://en.wikipedia.org/wiki/Streaming_SIMD_Extensions"
"Kuriame procesoriuje pirmą kartą buvo pristatytas SSE?","Pentium I","Pentium II","Pentium III","Pentium 4","C","https://en.wikipedia.org/wiki/Pentium_III"
"Kiek 8-bitų operacijų vienu metu galima atlikti su MMX 64-bitų registru?","2","4","8","16","C","https://en.wikipedia.org/wiki/MMX_(instruction_set)"
"Kokie duomenų tipai gali būti saugomi MMX registre?","8 supakuoti baitai","4 supakuoti žodžiai","2 supakuoti dvigubi žodžiai","1 keturgubas žodis","A, B, C, D","https://en.wikipedia.org/wiki/MMX_(instruction_set)"
"--- KVANTINIS KOMPIUTERIS ---",,,,,,
"Kas yra kubitas (qubit)?","Kompiuterio dalis","Kvantinės informacijos vienetas","Atmintis, matuojama bitais","Procesoriaus registras","B","https://en.wikipedia.org/wiki/Qubit"
