"QUESTION","ANSWER_A","ANSWER_B","ANSWER_C","ANSWER_D","ANSWERS","IMAGE"
"Kaip teisingai apskaičiuojamas vidutinis atminties prieigos laikas (AMAT), vertinant vieno lygio spartinančiąją atmintį?","Nepataikymo laikas + Nepataikymo dažnis × Pataikymo uždelsimas","Išrinkimo laikas pataikius + Pataikymo dažnis × Uždelsimas nepataikius (Hit Time + Hit Ratio × Miss Penalty)","Išrinkimo laikas pataikius × Pataikymo dažnis + Uždelsimas nepataikius","Išrinkimo laikas pataikius + Nepataikymo dažnis × Uždelsimas nepataikius (Hit Time + Miss Ratio × Miss Penalty)","D",""
"Kuris iš šių programos vykdymo scenarijų labiausiai atspindi laiko atžvilgio (temporal) lokališkumo principą?","Daugiamačio masyvo elementų nuskaitymas paeiliui, išnaudojant duomenų blokų parsiuntimą į spartinančiąją atmintį.","Ciklo iteratoriaus kintamojo inkrementavimas ir nuolatinis jo reikšmės tikrinimas ciklo sąlygoje kiekvienos iteracijos metu.","Vieno didelio tekstinio failo linijinis nuskaitymas nuo failo pradžios iki pabaigos (streaming).","Atsitiktinis duomenų priėjimas prie skirtingų fizinių atminties adresų milžiniškoje duomenų bazėje.","B",""
"Mitigojant procesoriaus ir operatyviosios atminties greičių skirtumus, išnaudojamas vietos atžvilgio (spatial) lokališkumo principas. Kurie iš šių teiginių teisingai apibūdina jo pritaikymą ir prigimtį? (Pasirinkite visus teisingus atsakymus)","Architektūriškai šis principas realizuojamas iš RAM į spartinančiąją atmintį perkeliant ne pavienius baitus, o ištisus atminties blokus (block transfer).","Šis principas sistemose užtikrina, kad procesoriui nereikėtų naudoti virtualiosios atminties (puslapiavimo mechanizmo).","Vietos lokališkumas apibrėžia, kad procesorius linkęs pakartotinai vykdyti tą pačią instrukciją per trumpą laiko tarpą.","Jei buvo kreiptasi į tam tikrą atminties adresą, yra labai didelė tikimybė, kad greitu metu bus kreipiamasi į gretimus adreso blokus.","A,D",""
"Tarkime, turime 32 bitų fizinio adreso erdvę ir tiesioginio atitikimo (direct mapped) spartinančiąją atmintį. Ši atmintis susideda iš 1024 eilučių, o vieno duomenų bloko dydis eilutėje yra 16 baitų. Kiek bitų prieinamame adrese bus teoriškai skirta požymiui (tag), indeksui (index) ir bloko poslinkiui (offset)?","Tag = 18 bitų, Index = 8 bitai, Offset = 6 bitai","Tag = 18 bitų, Index = 10 bitų, Offset = 4 bitai","Tag = 20 bitų, Index = 8 bitai, Offset = 4 bitai","Tag = 16 bitų, Index = 12 bitų, Offset = 4 bitai","B",""
"Kuris iš pateiktų sistemos veiksmų ir procesų labiausiai padidina uždelsimo nepataikius (miss penalty) matuojamą trukmę?","Kompiliatoriaus sugeneruotų nereikalingų konvejerio (pipeline) vėlinimo instrukcijų (nop) vykdymas.","Neoptimalus L1 ir L2 spartinančiųjų atminčių suskirstymas į instrukcijų ir duomenų dalis (split caches).","Požymių atminties (tag RAM) lyginimo grandinių (comparators) suveikimo lėtumas pačiame procesoriuje.","Ilgas kreipimosi laikas į operatyviąją atmintį (RAM) bei laikas, per kurį visas duomenų blokas per magistralę perduodamas į spartinančiąją atmintį.","D",""
"Kokioje situacijoje atgalinio įrašymo (write-back) atminties strategija pareikalauja daugiau laiko ir resursų, lyginant su ištisiniu įrašymu (write-through)?","Kai procesorius atlieka ilgas sekvencinio skaitymo operacijas iš jau modifikuoto bloko spartinančiojoje atmintyje.","Kai naujai iš RAM atsiųstas duomenų blokas turi užimti eilutę, kurioje šiuo metu yra modifikuoti (dirty) senieji duomenys, privalantys būti sinchronizuoti su RAM.","Kai atliekamas paties pirmojo duomenų bitų pakeitimo aktas visiškai švarioje (clean) atminties eilutėje.","Kai procesorius tiesiogiai įrašo apskaičiuotą reikšmę į vieną iš savo vidinių registrų, visiškai aplenkdamas RAM magistralę.","B",""
"Koks yra bene svarbiausias atgalinio įrašymo (write-back) architektūros pranašumas prieš ištisinio įrašymo (write-through) architektūrą moderniuose kompiuteriuose?","Valdiklis sumažina sistemos magistralės apkrovą, nes modifikuoti duomenys neįrašinėjami į operatyviąją atmintį kaskart juos pakeitus spartinančiojoje atmintyje.","Atgalinis įrašymas panaikina visus talpos nepataikymus (capacity misses), automatiškai kompresuodamas duomenis.","Naudojant šią sistemą galiojimo bito (valid bit) nereikia išvis, nes duomenys visą laiką lieka sinchronizuoti su RAM.","Ši architektūra gerokai palengvina atminties valdiklio tranzistorių išdėstymo schemą dėl savo veikimo paprastumo.","A",""
"Kompiuterio architektūroje nagrinėjant pilnai asociatyvią (fully-associative) spartinančiąją atmintį, adresas įprastai dekonstruojamas į dvi logines dalis (ignoruojant byte offset reikalavimus architektūrai). Kokios tai dalys?","Puslapio numeris (Page number) ir fizinis indeksas (Physical Index)","Indeksas (Index) ir poslinkis eilutėje (Offset)","Požymis (Tag) ir poslinkis eilutėje (Offset)","Požymis (Tag) ir sistemos indeksas (Index)","C",""
"Sistema naudoja dviejų lygių hierarchiją. L1 išrinkimo laikas pataikius (hit time) yra 2 ns, nepataikymo dažnis (miss ratio) yra 10%. L2 išrinkimo laikas yra 10 ns, nepataikymo dažnis - 20%. Jei L2 nepataikymo atveju kreipimasis į operatyviąją atmintį trunka lygiai 100 ns, koks bus apskaičiuotas sistemos AMAT?","12,0 ns","3,0 ns","5,0 ns","8,5 ns","C",""
"Kuo ypatinga N-krypčių dalinai asociatyvi (N-way Set Associative) spartinančiosios atminties organizacija? (Pasirinkite visus teisingus atsakymus)","Atmintis veikia prastai esant laiko lokališkumui, nes privalomai nuolatos ištrina seniausius įrašus iš visų aibių vienu metu.","Tai optimalus kompromisinis variantas tarp tiesioginio atitikimo (greitis) ir pilnai asociatyvios atminties (lankstumas ir retesni konfliktų nepataikymai).","Priklausomai nuo aibės indekso (set index), iš RAM atkeliavęs blokas apribojamas konkrečia eilučių aibe, tačiau pačioje aibėje gali atsidurti bet kurioje iš N laisvų pozicijų.","Adreso struktūroje išnyksta poreikis turėti indekso dalį, o adresas padalinamas tik į požymį ir poslinkį, kaip pilnai asociatyvioje atmintyje.","B,C",""
