"QUESTION","ANSWER_A","ANSWER_B","ANSWER_C","ANSWER_D","ANSWERS","IMAGE"
"Kokie yra trys pagrindiniai procesoriaus greičio didinimo būdai, išvardyti paskaitoje?","Aparatinės įrangos tobulinimas, spartinančioji atmintis, konvejeris ir superskaliarinis procesorius","Dažnio didinimas, branduolių kiekio mažinimas, instrukcijų rinkinio keitimas","SIMD instrukcijos, branch prediction, out-of-order vykdymas","Tranzistorių kiekio mažinimas, taktinio ciklo ilginimas, atminties talpos didinimas","A",""
"Moore'o dėsnis aprašo:","Procesoriaus dažnio dvigubėjimą kas 18 mėnesių","Tranzistorių skaičiaus integrinėje schemoje dvigubėjimą maždaug kas 2 metus","Spartinančiosios atminties talpos augimą kas metus","Vykdymo vienetų (EU) skaičiaus augimą GPU","B","https://upload.wikimedia.org/wikipedia/commons/0/00/Moore%27s_Law_Transistor_Count_1970-2020.png"
"Kas nulemia taktinį ciklą (clock cycle) konvejerio procesoriuje?","Instrukcijų skaičius konvejeryje","Trumpiausiai trunkantis etapas","Ilgiausiai trunkantis kelias (etapas) procesoriuje","Registrų skaičius","C",""
"Kaip apibrėžiamas konvejeris (pipeline)?","Atminties valdymo įrenginys, paskirstantis duomenis tarp registrų","Technika, kuria instrukcijos vykdomos griežtai nuosekliai, viena po kitos","Procesorius su keliomis ALU vykdymo vienetais","Darbo eiga, nurodanti kaip instrukcijų (duomenų) seka yra apdorojama","D",""
"Koks pagrindinis konvejerinio apdorojimo privalumas?","Kelios instrukcijos vykdomos vienu metu skirtinguose etapuose","Kiekviena individuali instrukcija įvykdoma greičiau","Nereikia operatyviosios atminties (RAM)","Pašalinami visi duomenų konfliktai","A",""
"Kokia yra FETCH fazės paskirtis instrukcijos cikle?","Apskaičiuoti operandų adresus","Nuskaityti instrukciją iš atminties į IR ir atnaujinti PC","Atlikti instrukciją ALU","Išsaugoti rezultatą registre arba atmintyje","B",""
"Kokia yra DECODE fazės paskirtis?","Nuskaityti operandus iš atminties","Išsaugoti rezultatą","Nustatyti instrukcijos tipą ir formatą","Apskaičiuoti operandų adresus atmintyje","C",""
"Kokia yra STORE RESULT fazės paskirtis?","Nuskaityti instrukciją iš atminties","Nustatyti instrukcijos tipą","Atlikti instrukciją","Išsaugoti rezultatą registre arba atmintyje","D",""
"Kokia yra teisinga 6 etapų instrukcijos ciklo fazių seka?","FETCH → DECODE → EVALUATE ADDRESS → FETCH OPERANDS → EXECUTE → STORE RESULT","DECODE → FETCH → FETCH OPERANDS → EXECUTE → EVALUATE ADDRESS → STORE RESULT","FETCH → EXECUTE → DECODE → FETCH OPERANDS → EVALUATE ADDRESS → STORE RESULT","FETCH → DECODE → FETCH OPERANDS → EVALUATE ADDRESS → EXECUTE → STORE RESULT","A",""
"Idealaus 6 etapų konvejerio diagramoje kuri instrukcija yra 7-ame taktiniame cikle FETCH etape, jei instrukcija nr.1 pradėjo 1-ame cikle?","6-oji instrukcija","7-oji instrukcija","5-oji instrukcija","3-ioji instrukcija","B",""
"Pasirinkite visus teisingus atsakymus. Kodėl konvejeris veikia su RISC instrukcijomis geriau nei su CISC?","RISC instrukcijos turi vienodą, fiksuotą ilgį – lengviau dekoduoti per vieną ciklą","RISC instrukcijos trunka vienodai ilgai kiekvienoje fazėje – mažiau nebalansų","CISC instrukcijos paprastesnės, todėl greičiau vykdomos","RISC registrų failas yra mažesnis","A,B",""
"Kuo struktūriškai skiriasi pipelined datapath nuo single-cycle datapath MIPS architektūroje?","Pipelined datapath neturi ALU","Single-cycle datapath naudoja daugiau atminties","Pipelined datapath turi tarpines registrų sekcijas (IF/ID, ID/EX, EX/MEM, MEM/WB) tarp etapų","Pipelined datapath turi tik 3 etapus","C",""
"Kokie yra trys pagrindiniai konvejerio konfliktų (hazards) tipai?","Aritmetiniai, loginiai ir valdymo","Statiniai, dinaminiai ir hibridiniai","Registro, atminties ir I/O konfliktai","Struktūriniai, duomenų ir valdymo","D",""
"Kas yra struktūrinis (resource) konfliktas konvejeryje?","Kai dvi ar daugiau instrukcijų vienu metu bando pasiekti tą patį aparatinės įrangos resursą","Kai sąlyginė šaka nežinoma ir reikia išvalyti konvejerį","Kai instrukcija naudoja pasenusią registro reikšmę iš ankstesnės instrukcijos","Kai instrukcija turi per daug operandų dekoduoti","A",""
