"QUESTION","ANSWER_A","ANSWER_B","ANSWER_C","ANSWER_D","ANSWERS","IMAGE"
"Kiek bitų yra MMX registre?","64","32","80","128","A",""
"Iš kokių registrų yra pasiskolinami MMX registrai?","Bendrųjų paskirties registrų (EAX–EDX)","FPU slankiojo kablelio registrų (ST0–ST7)","Segmentų registrų","Valdymo registrų (CR0–CR4)","B",""
"Kiek MMX registrų egzistuoja ir kaip jie žymimi?","4 registrai, žymimi MM0–MM3","16 registrų, žymimi MM0–MM15","8 registrai, žymimi MM0–MM7","8 registrai, žymimi XMM0–XMM7","C",""
"Koks yra FPU registro STx plotis bitais?","32","64","128","80","D",""
"MMX 64 bitų registre galima saugoti supakuotus baitus. Kiek baitų telpa į vieną MMX registrą?","8","6","4","16","A",""
"Koks duomenų išdėstymo būdas (byte order) naudojamas MMX atminties operandams?","Big endian – reikšmingiausias baitas mažiausiame adrese","Little endian – mažiausiai reikšmingas baitas mažiausiame adrese","Mixed endian – keitimas pagal operandą","Middle endian – viduriniai baitai mažiausiame adrese","B",""
"Pasirinkite visus teisingus atsakymus. Kokias operacijas galima atlikti su 64 bitų MMX registrais kaip vienu vienetu (quadword lygmeniu)?","Logines operacijas (AND, OR, XOR)","Poslinkio operacijas","Aritmetines operacijas (sudėtis, atimtis)","Daugybos ir dalybos operacijas","A,B",""
"Kokie yra trys MMX perpildymo valdymo būdai?","Overflow, underflow, saturation","Clamp, wrap, truncate","Wraparound, signed saturation, unsigned saturation","Carry, borrow, overflow","C",""
"Wraparound perpildymo atveju du teigiami sveikieji skaičiai su ženklu susumuojami ir gauname perpildymą. Koks bus rezultatas?","Išmetama išimtis","Rezultatas prisotinamas iki maksimalios reikšmės","Operacija atliekama naudojant dvigubo tikslumo aritmetiką","Perpildymas ignoruojamas ir rezultatas apvyniojamas (tampa neigiamas)","D",""
"Koks yra viršutinis rėžis signed byte tipo duomenims signed saturation atveju?","127","128","255","32767","A",""
"Koks yra apatinis rėžis unsigned byte tipo duomenims unsigned saturation atveju, kai pasiekiamas neigiamas perpildymas?","−128","0","−1","1","B",""
"Kiek MMX instrukcijų iš viso egzistuoja?","16","32","47","64","C",""
"Ką atlieka EMMS instrukcija?","Išvalo XMM registrus ir paruošia SSE naudojimui","Persijungia iš MMX į SSE2 vykdymo režimą","Inicializuoja visus MMX registrus į nulį","Išvalo MMX/FPU registrų būseną, kad FPU galėtų vėl juos naudoti","D",""
"Ką atlieka MOVD instrukcija perkeliant duomenis iš 32 bitų atminties vietos į MMX registrą?","Perkeliami žemiausi 32 bitai, viršutiniai 32 bitai užpildomi nuliais (zero extension)","Perkeliami visi 64 bitai, kiti užpildomi atsitiktiniais duomenimis","Perkeliami aukštieji 32 bitai, žemieji paliekami nepakeisti","Generuojama klaida, nes MOVD negali naudoti atminties operandų","A",""
"Instrukcija MOVD mm1, EAX atveju EAX = 0xABCD1234. Koks bus mm1 turinys po instrukcijos?","0xABCD123400000000","0x00000000ABCD1234","0x0000000000000000","0x00000000FFFFFFFF","B",""
"Ką atlieka PACKSSWB instrukcija?","Konvertuoja supakuotus baitus į supakuotus žodžius su prisotinimu","Konvertuoja supakuotus dvigubus žodžius į supakuotus žodžius be ženklo","Konvertuoja supakuotus žodžius (16 bit) į supakuotus baitus (8 bit) su ženklu ir prisotinimu","Išpakuoja aukštos eilės baitus į žodžius","C",""
"Ką atlieka PUNPCKLBW mm1, mm2 instrukcija?","Supakuoja aukštos eilės baitus iš mm1 ir mm2 į mm1","Perkelia žemesnius 4 baitus iš mm2 į mm1","Atlieka nesupakuotą baitų sudėtį su ženklu","Išpakuoja žemos eilės baitus iš mm1 ir mm2, kaitaliodamas juos į žodžius mm1 registre","D",""
"Paveiksliukų išblukimo algoritme naudojama formulė k*(A−B)+B, kur k=50%. Kodėl kode naudojama psrlw mm1, 1 instrukcija, o ne tiesioginis dauginimas iš 0.5?","MMX registrai nepalaiko slankiojo kablelio aritmetikos, todėl daugybos 0.5 nėra; poslinkis per 1 į dešinę dalijasi iš 2","MMX turi daugybos instrukciją, tačiau ji per lėta","psrlw yra greitesnė nei PMULHW tik kai k=25%","Poslinkis į dešinę atlieka daugybą iš 2, o ne dalybą","A",""
