"QUESTION","ANSWER_A","ANSWER_B","ANSWER_C","ANSWER_D","ANSWERS","IMAGE"
"Koks yra minimalus adresuojamas atminties vienetas šiuolaikiniuose kompiuteriuose?","1 baitas (8 bitai)","1 bitas","2 baitai (žodis)","4 baitai (dvigubas žodis)","A",""
"Kiek baitų užima float tipo kintamasis C/C++ 32 bitų architektūroje?","2","4","8","10","B",""
"Kiek baitų užima rodyklė (pointer) 64 bitų architektūroje C/C++?","4","6","8","16","C",""
"Pasirinkite visus teisingus atsakymus. Kurie iš šių C/C++ tipų yra 8 baitų dydžio?","long long","double","unsigned long long","float","A,B,C",""
"struct person1 { char id[6]; int age; bool married; }; Kokio dydžio (baitais) yra ši struktūra dėl atminties lygiavimo taisyklių (tipinė MSVC/GCC 32 bitų aplinka)?","11","16","13","12","D",""
"int skaiciai[10]; int* ip = skaiciai; ip++; Kiek baitų skiriasi naujas ip adresas nuo pradinio?","4","2","1","8","A",""
"Kokia yra rodyklių aritmetikos taisyklė: ip + k = ?","ip + k","ip + k * sizeof(*ip)","ip + k * 1","ip + k * sizeof(ip)","B",""
"int sk = 10; sk += ++sk; Kokia reikšmė bus priskirta sk C++ kompiliatoriuje (remiantis paskaitoje aprašytu elgsena – ++sk įvertinamas pirma)?","20","21","Neapibrėžta elgsena, bet paskaita rodo 22","22","C",""
"Kas yra MMU (Memory Management Unit)?","Programinė OS biblioteka, valdanti malloc/free kvietimus","Operacinės sistemos branduolio modulis, tikrinantis prieigos teises","Mikroprocesoriaus registrų rinkinys, skirtas spartinančiajai atminčiai","Techninės įrangos įrenginys, konvertuojantis virtualiosios atminties adresus į fizinius RAM adresus","D",""
"Kuri iš šių problemų yra pagrindinė virtualiojo adresų erdvių paskirtis išspręsti?","Užtikrinti programų izoliaciją ir apsaugą – kiekviena programa turi savo virtualią adresų erdvę","Leisti kelioms programoms naudoti tą patį fizinį atminties adresą nesaugiai","Padidinti fizinės RAM darbinį dažnį","Sumažinti procesoriaus registrų skaičių","A",""
"Virtualiosios atminties technologija leidžia disko atmintį valdyti tarsi operatyviąją atmintį (RAM). Kaip vadinasi šis metodas?","Paging (puslapių kaita)","Virtual memory (virtualiosios atminties) abstrakcija","Segmentavimas","Cache prefetching","B",""
"Koks yra standartinis puslapio dydis x86 architektūroje?","1 KB","2 KB","4 KB","8 KB","C",""
"Pasirinkite visus teisingus atsakymus. Kokias problemas sprendžia puslapių kaita (paging)?","Išorinę fragmentaciją","Atminties trūkumo problemą (naudojant swap)","Programų izoliaciją ir saugumą","Procesoriaus vykdymo greičio problemas","A,B,C",""
"Kas yra vidinė fragmentacija?","Dėl gretimų laisvų blokų susidaro tušti tarpai tarp užimtų regionų","Procesorius negali pasiekti atminties dėl netinkamo adresų lygiavimo","Atminties puslapiai išsidėsto netvarkingai diske","Atminties blokas yra didesnis nei reikia, todėl dalis jo lieka nepanaudota pačiame bloke","D",""
"Kuo skiriasi išorinė fragmentacija nuo vidinės?","Išorinė – tai daug smulkių laisvų blokų tarp užimtų; juos kartu sudėjus tilptų užklausa, bet jie nėra gretimai","Išorinė atsiranda heap'e, o vidinė – steke","Išorinė reiškia, kad atminties modulis fiziškai pažeistas","Nėra skirtumo – tai sinonimai","A",""
