"QUESTION","ANSWER_A","ANSWER_B","ANSWER_C","ANSWER_D","ANSWERS","IMAGE"
"Kuo kvantinis kompiuteris iš esmės skiriasi nuo klasikinio kompiuterio?","Jis naudoja šviesolaidžius dvejetainių kodų perdavimui vietoje elektrinių varinių laidų ir tranzistorių.","Jis naudoja ne tradicinius tranzistorius, o veikia atomų lygmens dalelių kvantinės mechanikos (superpozicijos, susietumo) principais.","Jis veikia kambario temperatūroje naudodamas analoginius vakuuminius vamzdžius didelio greičio skaičiavimams.","Jis pagrįstas išimtinai Niutono fizikos dėsniais, visiškai eliminuojant bet kokius atsitiktinumus ar tikimybes skaičiavimuose.","B",""
"Kurie chronologiniai etapai ir pasiekimai kvantinės kompiuterijos raidoje suporuoti teisingai? (Pasirinkite visus teisingus atsakymus)","1994 m. – Peter Shor sukūrė pirmąjį kvantinį algoritmą (skaidymas į pirminius daugiklius).","2011 m. – IBM išleido 433 kubitų Quantum System One kaip pirmąjį komercinį žaidimų kompiuterį.","2019 m. – Google AI ir NASA paskelbė pasiekę „kvantinį pranašumą“ (quantum supremacy) su Sycamore procesoriumi.","1913 m. – Max Planck pademonstravo pirmąjį veikiantį 2 kubitų kompiuterį vakuume.","A,C,E",""
"Ką fizikoje ir kvantinėje kompiuterijoje reiškia „superpozicijos“ (superposition) savybė?","Reiškinys, kai dvi dalelės atsitrenkia viena į kitą ir anihiliuoja, išskirdamos fotoną.","Savybė, kuri padvigubina elektros srovės stiprį superlaidžiose grandinėse.","Savybė, leidžianti kvantinei dalelei ar kubitui būti keliose būsenose (pvz., ir 0, ir 1) vienu metu, kol neįvyksta matavimas.","Būsena, kuomet procesorius pilnai praranda duomenis ir veikia kaip klasikinis kompiuteris.","C",""
"Kaip vadinasi kvantinis reiškinys, kai vienos dalelės būsena griežtai priklauso nuo kitos dalelės būsenos, neatsižvelgiant į atstumą tarp jų (pvz., dėžutėse su mėsainiu ir bulvytėmis)?","Bangų-dalelių dualumas (Wave-particle duality)","Kvantinė interferencija (Interference)","Kvantinis atkaitinimas (Quantum annealing)","Kvantinis susietumas (Entanglement)","D",""
"Remiantis Feynman'o dviejų plyšių eksperimentu (bangų-dalelių dualumas), kas nutinka dalelių (pvz., elektronų) srautui, jeigu eksperimente pridedamas „stebėtojas“ (observer), matuojantis pro kurį plyšį lekia dalelė?","Dalelių greitis eksponentiškai išauga ir jos pradeda laužti šviesos greičio limitus, atspindėdamos interferenciją.","Dalelės praranda bangos savybę, dualumas redukuojasi ir dalelės lekia tik pro vieną iš plyšių, formuodamos standartinį dalelių pėdsaką ekrane be interferencijos rašto.","Dalelės tampa susietos viena su kita (entangled) ir vizualiai pradingsta iš eksperimento ekrano, įveikdamos izoliacijos barjerą.","Stebėtojo buvimas sukuria dar stipresnę kvantinę superpoziciją ir ekrane atsiranda tris kartus daugiau interferencijos linijų.","B",""
"Kokios loginės prielaidos išsakomos „Skeptikų“, argumentuojant, kad kvantinis kompiuteris niekada realiai neveiks? (Pasirinkite visus teisingus atsakymus)","Didesnių kvantinių mechanizmų negalima sukurti, nes plečiant sistemą prarandama kvantinė mechanika (dekoherencija).","IBM ir Google slopina kvantinių tyrimų plėtrą patentuodami visas įmanomas atviras superpozicijos formules.","Neįmanoma visiškai panaikinti triukšmo sistemose.","Kvantinė fizika nėra pilnai suprantama, o realus pasaulis yra fundamentaliai diskretus.","A,C,D",""
"Kaip matematiškai kubitų kiekis (N) koreliuoja su jų atstojamų klasikinių būsenų erdve superpozicijoje?","N kubitų padvigubina klasikinį bitų srautą, tad saugo 2 x N būsenų.","N kubitų superpozicijoje vienu metu atstoja ir gali saugoti 2^N klasikinių būsenų erdvių.","N kubitų gali saugoti lygiai N^2 būsenų.","Kubitų skaičius ir erdvė yra tiesiogiai proporcingi, 10 kubitų atstoja 10 klasikinių būsenų.","B",""
"Analizuojant Blocho sferą ir kubito banginę funkciją |ψ⟩ = α|0⟩ + β|1⟩, ką tiksliai atspindi koeficientai α ir β?","Jie apibrėžia fizinį elektronų sukimosi (spino) greitį matuojamą metrais per sekundę.","Tai yra loginiai vartai, kur α yra Pauli-X, o β yra Pauli-Z matricos faktorius.","Jie išreiškia matavimo rezultatų tikimybes, kur |α|^2 yra tikimybė pamatyti 0, o |β|^2 – tikimybė pamatyti 1 (bendra suma lygi 1).","Jie nurodo atstumą, kuriuo atitolę du susieti (entangled) kubitai fizinėje vakuuminėje sistemoje.","C",""
"Kokia yra loginio elemento Pauli-X (arba X vartų) funkcija kvantinėje grandinėje?","Jis sukuria tobulą superpozicijos būseną dalinant tikimybes per pusę.","Jis susieja du kubitus, sukuriant entanglement (susietumo) būseną sistemoje.","Tai kvantinis atitikmuo klasikiniam NOT elementui – jis apverčia kubito būseną (pvz., iš |0⟩ į |1⟩ ir atvirkščiai).","Jis matuoja kubitą, nedelsiant sunaikindamas banginę funkciją ir paversdamas ją grafiku.","C",""
"Kuris kvantinis elementas (logic gate) pavaizduojamas matrica turinčia reikšmes 1/√2 [1 1; 1 -1] ir yra atsakingas už perėjimą iš bazinės būsenos į superpoziciją?","Hadamard (H) elementas","Pauli-Z (Z) elementas","Toffoli (CCNOT) elementas","Controlled Not (CNOT) elementas","A",""
"Koks pagrindinis technologinis iššūkis siejamas su „Superconducting circuits“ (superlaidžių grandinių) kubitų tipu, kurį naudoja Google ir IBM?","Superpralaidumui užtikrinti ir triukšmui sumažinti reikalinga ekstremaliai žema temperatūra (apie -273 °C).","Jiems reikalingi nuolatiniai radioaktyvūs lazeriai, todėl kompiuteriai spinduliuoja žmogui pavojingą radiaciją.","Jie yra per daug stabilūs, todėl neįmanoma atlikti „išvedimo“ procedūros (matavimo) – kubitai niekada nepraranda superpozicijos.","Šie kubitai veikia tik atvirame kosmose, nes Žemės magnetinis laukas akimirksniu sunaikina Josephson junction.","A",""
"Kas iš žemiau išvardintų apibūdina „Ion traps“ (jonų spąstų) technologijos veikimo principą?","Kubitas formuojamas naudojant fotonus, kurie keliauja šviesolaidžiais, nes jie neturi masės ir nereikalauja aušinimo.","Metalo juostelės atšaldomos iki absoliutaus nulio, kur elektronai laisvai keliauja per 1 nanometro tarpą.","Sistemoje naudojamas DNR molekulių susipynimas skysčio terpėje, kurioje fermentai atkartoja loginio NOT veiksmus.","Elektromagnetiniame lauke, vakuume, yra pagaunami atomai (jonai), kurių krūvis (būsena) keičiamas ir nuskaitomas naudojant lazerio impulsus.","D",""
"Kodėl kvantiniai skaičiavimai (programos vykdymas) dažnai kartojami daugybę (pvz., tūkstančius) kartų?","Matavimo momentu rezultatas yra atsitiktinis (tikimybinis). Norint gauti patikimą atsakymą, operacija kartojama, kad būtų surinktas tikimybinis pasiskirstymas ir identifikuotas dažniausiai pasikartojantis (teisingas) atsakymas.","Tai privaloma V-Sync sinchronizacijos taisyklė – kiekvienas kubitas turi būti atstatytas į pradinę |0⟩ būseną prieš sekantį taktą.","Kvantiniai kompiuteriai veikia tūkstančius kartų lėčiau už klasikinius, todėl vienas praėjimas niekada nespėja apdoroti pilno masyvo.","Kompiliatorius generuoja atminties nuotėkius (memory leaks), tad programa turi būti nuolat perkraunama apdorojimui.","A",""
"Skaidrėse minima išvedimo (matavimo) problema. Kokia jos esmė?","Matavimas automatiškai pakeičia kodo algoritmą, paverčiant kvantinį kompiuterį neprognozuojamu ir užkrėstu virusais.","Nors kompiuteris sistemos viduje gali atlikti milijonus lygiagrečių skaičiavimų superpozicijoje vienu metu, atlikus matavimą galima pamatyti tik vieną, vienintelį atsitiktinai sugeneruotą būsenos rezultatą.","Matavimo prietaisai (ekranai) yra pritaikyti tik dvejetainei sistemai, todėl monitoriuose neįmanoma parodyti kubitų spalvų variacijų.","Procesorius nesugeba perduoti informacijos atgal į RAM atmintį dėl per lėto duomenų buferio našumo išoriniame tinkle.","B",""
"Kaip vizualizuojamas kubito sužadinimas atominės struktūros pavyzdyje siekiant gauti superpoziciją |0⟩ + |1⟩?","Elektronas paveikiamas lazeriu/šviesa, priverčiant jį būti tarpinėje stadijoje: iš dalies sužadintoje (išorinėje orbitoje) ir iš dalies nesužadintoje (vidinėje orbitoje) būsenoje vienu metu.","Atomas panardinamas į skystą helį, kurio molekulės užrakina elektroną tiksliai branduolio centre ir apverčia jo ašį.","Elektronas padalinamas pusiau skalpeliu, kur viena pusė virsta protonu (|1⟩), o kita lieka elektronu (|0⟩).","Fotonas pagreitinamas iki šviesos greičio, dėl ko jis sukuria antrąją savo kopiją kitoje virtualioje dėžutėje.","A",""
"Pasirinkite teisingą „Photonic circuits“ (fotoninių grandinių) tipo kubitų savybę iš žemiau pateiktų:","Ši technologija leidžia matuoti kubitų tarpines būsenas neprarandant superpozicijos dėl fotonų išlenktos gravitacijos.","Jie reikalauja didžiausio aušinimo iš visų tipų, nes fotonai išlydo silicio grandines dirbdami be azoto aušinimo.","Fotonas neturi masės nei krūvio, todėl jo beveik neveikia aplinka ir jam nereikia ypatingų (ekstremalaus šalčio) sąlygų.","Jie naudoja radijo bangas atsitiktinių skaičių generavimui uždarame Faraday narve per magnetinį lauką.","C",""
