QUESTION,ANSWER_A,ANSWER_B,ANSWER_C,ANSWER_D,ANSWERS,IMAGE
Koks yra pagrindinis skirtumas tarp Von Neumann ir Harvard architektūrų?,Von Neumann architektūroje duomenys ir instrukcijos saugomi toje pačioje atmintyje.,Harvard architektūroje duomenys ir instrukcijos saugomi skirtingose fizinėse atmintyse.,Harvard architektūra yra lėtesnė už Von Neumann.,Von Neumann architektūra nenaudoja procesoriaus registrų.,"A, B",https://upload.wikimedia.org/wikipedia/commons/e/e5/Von_Neumann_Architecture.svg
Už ką atsakingas aritmetinis-loginis įtaisas (ALU) procesoriuje?,Instrukcijų dekodavimą ir valdymą.,Aritmetinių ir loginių operacijų atlikimą.,Sekančios instrukcijos adreso saugojimą.,Duomenų persiuntimą į išvesties įrenginius.,B,https://upload.wikimedia.org/wikipedia/commons/a/a9/ALU_symbol.svg
"Kokios dvi pagrindinės dalys sudaro mašininę instrukciją (pvz., LC-3 architektūroje)?",Opkodas (opcode) ir operandai.,Instrukcijų registras ir duomenų registras.,Būsenos vėliavėlės ir atminties adresas.,Akumuliatorius ir dekoderis.,A,
Ką atlieka „FETCH“ (nuskaitymo) fazė procesoriaus instrukcijos cikle?,Išsaugo galutinį rezultatą atmintyje.,Dekoduoja instrukcijos tipą ir nustato opkodą.,Nuskaito instrukciją iš atminties į Instrukcijų Registrą (IR) ir pakeičia Programų Skaitiklio (PC) reikšmę.,Atlieka matematinį veiksmą su dviem operandais.,C,https://upload.wikimedia.org/wikipedia/commons/c/c1/Instruction_cycle.png
Kokia yra Programų skaitiklio (Program Counter - PC) funkcija procesoriuje?,Skaičiuoti procesoriaus atliktų ciklų kiekį.,Saugoti sekančios vykdytinos instrukcijos atminties adresą.,Saugoti dabartinės instrukcijos operando reikšmę.,Sekti laiko intervalus procesoriaus laikrodyje (Clock).,B,
Kurie iš šių teiginių teisingai apibūdina RISC (Reduced Instruction Set Computing) architektūrą?,Sudėtingos instrukcijos ir ilgas jų dekodavimo laikas.,"Mažas, bet optimizuotas instrukcijų kiekis, daug registrų, instrukcija atliekama per vieną ciklą.","Didesnis krūvis atitenka aparatinei įrangai (hardware), o ne kompiliatoriui.",Lengviau pritaikomas „pipeline“ (konvejerio) mechanizmas instrukcijų vykdymui.,"B, D",
Ką atlieka MAR (Memory Address Register) ir MBR/MDR (Memory Buffer Register) registrai procesoriuje?,"MAR saugo atminties adresą, į kurį ar iš kurio bus kreipiamasi.","MBR saugo duomenis, kurie buvo nuskaityti iš atminties arba bus į ją įrašomi.",Abu registrai skirti tik floating-point (slankiojo kablelio) operacijoms atlikti.,"MAR nurodo instrukcijos numerį, o MBR - operandų skaičių.","A, B",
"Kokiai instrukcijų grupei priklauso ADD, AND ir NOT operacijos?",Duomenų perdavimo (Data transfer).,Kontrolės (Control flow).,Įvesties ir išvesties (I/O).,Duomenų apdorojimo (Data processing).,D,
Kiek bitų 16-bitų LC-3 architektūroje yra skiriama opkodui (opcode) ir kiek iš viso joje yra unikalių instrukcijų?,"8 bitai opkodui, 256 instrukcijos.","4 bitai opkodui (12-15 bitai), leidžiantys turėti 16 unikalių instrukcijų.","16 bitų opkodui, 65536 instrukcijos.","6 bitai opkodui, iš viso 60 instrukcijų.",B,
Kuo skiriasi BRANCH (BR) ir JUMP (JMP) instrukcijos instrukcijų sekoje (LC-3 architektūroje)?,"BR instrukcija vykdoma visada, nepriklausomai nuo ankstesnių rezultatų.","BR instrukcijos vykdymas priklauso nuo procesoriaus būsenos vėliavėlių (n, z, p).","JMP instrukcija vykdoma visada (besąlyginis šuolis), o adresas imamas iš nurodyto registro.",JMP instrukcija naudojama tik grįžimui iš sistemos pertraukčių (TRAP).,"B, C",
Kokie bruožai būdingi CISC (Complex Instruction Set Computing) architektūrai?,Sudėtingesnės instrukcijos ir mažas instrukcijų kiekis.,Daug registrų ir mažiau bitų instrukcijoms.,Instrukcija atliekama griežtai per vieną ciklą.,"Didelis krūvis tenka aparatinei įrangai (hardware), o ne kompiliatoriui.","A, D",
"Kokia architektūra šiuo metu vyrauja moderniuose procesoriuose (pvz., naudojant I-cache ir D-cache)?",Gryna Von Neumann architektūra.,"Modifikuota Harvardo architektūra (išorė von Neumanno, vidus link Harvardo).",Išimtinai gryna Harvardo architektūra be bendros operatyviosios atminties.,Kvantinė procesorių architektūra.,B,
Ką instrukcijos cikle atlieka DECODE (dekodavimo) fazė?,Apskaičiuoja operando adresą atmintyje.,Išsaugo galutinį rezultatą atgal į registrą.,"Valdymo blokas (CU) nustato instrukcijos tipą, formatą ir opkodą.",Nuskaito sekančią instrukciją į instrukcijų registrą (IR).,C,https://upload.wikimedia.org/wikipedia/commons/c/c1/Instruction_cycle.png
Koks yra pagrindinis LDI (Load Indirect) instrukcijos LC-3 procesoriuje veikimo principas?,"Duomenys užkraunami iš atminties adreso, kuris yra nurodytas kitoje atminties vietoje (adresas nurodo į kitą adresą).",Duomenys įrašomi tiesiai iš instrukcijos operando į registrą be kreipimosi į RAM.,LDI sudeda dviejų registrų reikšmes ir išsaugo trečiajame.,Ši instrukcija tiesiogiai nutraukia programos vykdymą ir grąžina valdymą OS.,A,
Kokia yra procesoriaus laikrodžio (Clock) paskirtis?,"Skaičiuoti, kiek laiko vartotojas praleido programoje.","Pateikti tikslų realų laiką (metus, mėnesius, dienas) operacinei sistemai.","Generuoti elektrinius signalus, sinchronizuojančius visus procesoriaus komponentų veiksmus.",Laikrodis nustato instrukcijų opkodo dydį.,C,
"Ką nurodo „n, z, p“ vėliavėlės procesoriuje (pavyzdžiui, naudojamos BRANCH instrukcijų metu)?","Tai yra paskutinės atliktos operacijos (ADD, AND, LD ir pan.) būsenos: neigiama (negative), nulinė (zero), teigiama (positive).","Tai yra procesoriaus registrų numeriai, naudojami slankiojo kablelio matematikoje.","Jos nurodo, ar instrukcija bus siunčiama į I/O įrenginį, atmintį ar ALU.","Tai yra atminties blokų apsaugos lygiai (null, zero-trust, protected).",A,
Kiek iš viso bendrosios paskirties registrų turi mokomasis LC-3 procesorius?,4 (R0 iki R3).,8 (R0 iki R7).,16 (R0 iki R15).,32 (R0 iki R31).,B,
"Kokia instrukcijų vykdymo fazė yra praleidžiama (sudaro 0 žingsnių), jeigu procesorius vykdo standartinę ADD instrukciją tarp dviejų registrų (register mode)?",FETCH (Instrukcijos nuskaitymas).,DECODE (Instrukcijos dekodavimas).,EVALUATE ADDRESS (Adreso apskaičiavimas) ir FETCH OPERANDS (iš atminties).,EXECUTE (Operacijos atlikimas ALU).,C,
"Ką daro instrukcijų seka: LD R1, X; LD R2, Y; AND R1, R2, R1; ST R1, Z?",Sudaugina X ir Y ir išsaugo Z.,"Iš atminties nuskaito X ir Y reikšmes į registrus, pritaiko loginę AND operaciją ir rezultatą įrašo į adresą Z.","Ištrina X, Y ir Z reikšmes iš atminties.","Tai yra tipinis CISC instrukcijos pavyzdys, atliekamas per vieną takto ciklą.",B,
"Kas procesoriuje sudaro instrukciją formatu „Immediate mode“ (pvz., ADD R1, R2, #5)?",Visi operandai imami tik iš atminties.,"Vienas iš operandų nėra registras ar adresas, o tiesiogiai instrukcijoje įrašytas konkretus skaičius (reikšmė).",Instrukcija nutraukia visus kitus procesus ir įvyksta „iš karto“ (immediately).,Šis formatas nenaudoja opkodo.,B,
Kokia yra EVALUATE ADDRESS fazės paskirtis instrukcijų cikle?,Išsaugoti rezultatą atmintyje.,"Apskaičiuoti operandų adresus, jei tokių yra (pvz., LD instrukcijai).",Nustatyti opkodo reikšmę po dekodavimo.,Nuskaityti operandus iš bendrosios paskirties registrų.,B,
Kaip skaičiuojamas adresas LDR instrukcijoje (LC-3 architektūroje)?,Prie Programų Skaitiklio (PC) pridedamas offset9.,Prie BaseR registre esančio adreso pridedamas offset6.,Naudojamas tiesiogiai nurodytas 16-bitų adresas be pakeitimų.,Reikšmė gaunama iš procesoriaus steko.,B,
Ką atlieka LEA (Load Effective Address) instrukcija?,Nuskaito reikšmę iš atminties į nurodytą registrą.,Išsaugo registro reikšmę operatyviojoje atmintyje.,Apskaičiuoja adresą (PC + offset) ir išsaugo patį adresą (ne jo reikšmę atmintyje) registre.,Padalina dviejų registrų reikšmes naudojant ALU.,C,
Koks yra STI (Store Indirect) instrukcijos veikimo principas?,Išsaugo reikšmę tiesiai procesoriaus steke.,"Reikšmė iš registro įrašoma į atminties adresą, kuris randamas kitu atminties adresu (adresas nurodo adresą).",Sudeda operandus iš dviejų registrų ir išsaugo trečiame.,Perkelia duomenis iš vieno bendrosios paskirties registro į kitą.,B,
Kurioje fazėje ADD instrukcijos rezultatas įrašomas atgal į bendrosios paskirties registrą?,FETCH (Instrukcijos nuskaitymas).,DECODE (Dekodavimas).,"EXECUTE (Vykdymo fazėje, jeigu rezultatas išsaugomas registruose).",EVALUATE ADDRESS (Adreso nustatymas).,C,https://upload.wikimedia.org/wikipedia/commons/c/c1/Instruction_cycle.png
"Kiek bendrosios paskirties registrų turi standartinė MIPS architektūra, remiantis skaidrėmis?",8 registrus.,16 registrų.,32 (32x32-bitų) registrus.,64 registrus.,C,
Kokie yra pagrindiniai procesoriaus (CPU) komponentai Von Neumann architektūroje?,Tik operatyvioji atmintis (RAM).,Kietasis diskas ir vaizdo plokštė.,"Aritmetinis-loginis įtaisas (ALU), Valdymo įtaisas (CU) ir Registrai.","Įvesties ir išvesties įrenginiai (pelė, klaviatūra, ekranas).",C,https://upload.wikimedia.org/wikipedia/commons/e/e5/Von_Neumann_Architecture.svg
Koks yra Valdymo bloko (Control Unit) vaidmuo procesoriuje?,Atlikti sudėtingas aritmetines ir logines operacijas.,Saugoti didelius duomenų kiekius ilgalaikėje atmintyje.,Nurodyti kompiuteriui atlikti instrukcijas po vieną iš eilės ir valdyti instrukcijų ciklą.,Maitinti procesorių elektros energija.,C,
"Kokiai instrukcijų šeimai priklauso operacijos, kurios duomenis ima tik iš registrų ir rezultatą padeda atgal į registrą (pvz., MIPS arhitektūroje)?",Jump (J-type).,Register (R-type).,Immediate (I-type).,Memory access.,B,
