QUESTION,ANSWER_A,ANSWER_B,ANSWER_C,ANSWER_D,ANSWERS,IMAGE
"Koks yra esminis skirtumas tarp duomenų buferio ir loginio elemento buferio (logic gate buffer) kompiuterių architektūroje?","Duomenų buferis modifikuoja dvejetainį kodą aritmetiniame modulyje, o loginis elementas jį perkelia nepakeistą pagal taktinį dažnį magistralėje.","Duomenų buferis naudojamas tik išoriniuose atminties įrenginiuose (pvz., SSD), o loginis elementas – tik procesoriaus konvejeriuose.","Abu komponentai atlieka absoliučiai identišką skaitmeninę duomenų kaupimo funkciją ir skiriasi tik jų fizinis tranzistorių dydis integriniame grandyne.","Duomenų buferis laikinai saugo duomenų blokus išlyginant greičių skirtumus tarp komponentų, o loginis elementas skirtas elektrinio signalo vėlinimui ir atnaujinimui procesoriaus logikoje.","D",""
"Kokiose iš šių nurodytų situacijų kompiuterinėje sistemoje iškyla akivaizdi būtinybė panaudoti duomenų buferius? (Pasirinkite visus teisingus atsakymus)","Kai procesoriui pritrūksta virtualios atminties ir puslapius privaloma operatyviai siųsti į standųjį diską nuolatiniam saugojimui be eiliškumo.","Kai egzistuoja dramatiški veikimo greičio skirtumai tarp bendraujančių sistemos komponentų.","Kai sistemą paveikia staigi, neplanuota trumpalaikė duomenų apkrova (burst).","Kai duomenys magistralėje perduodami ir valdomi griežtomis porcijomis ar asimetriniais paketais.","B,C,D",""
"Kokia standartinė duomenų struktūra yra dažniausiai pritaikoma realizuojant skaitmeninį duomenų buferį, siekiant išlaikyti paketų apdorojimo istorinį eiliškumą?","FIFO (First In, First Out) architektūrinė eilė.","Dvejetainis paieškos medis (Binary Search Tree).","LIFO (Last In, First Out) architektūrinis stekas.","Pilnai asociatyvus (Fully Associative) neorganizuotas masyvas.","A",""
"Kodėl realizuojant duomenų buferį aparatinėje įrangoje beveik visuomet pasirenkamas „ciklinės eilės“ (circular queue) „rato“ principas, o ne klasikinis tiesinis masyvas?","Ši metodika automatiškai aparatūriniame lygyje kompresuoja atvykstančius duomenis kiekviename cikle.","Taip išvengiama lėto, procesoriaus laiko reikalaujančio visų likusių buferio elementų perstumdymo atgal po kiekvienos nuskaitymo operacijos.","Šis metodas leidžia įrašyti duomenis peršokant ir ignoruojant eiliškumo taisykles, užtikrinant žemiausią vėlinimo reikšmę.","Ciklinė struktūra yra atspari buferio perpildymo klaidoms, nes pasibaigus vietai ratas automatiškai plečiamas operacinės sistemos branduolyje.","B",""
"Cikliniame 6 elementų buferyje (indeksai nuo 0 iki 5) pradedame operacijas nuo tuščios būsenos (front=0, back=0). Vykdoma seka: 4 elementai pridedami (`enqueue`), tuomet 2 išimami (`dequeue`), ir pabaigoje 3 elementai pridedami (`enqueue`). Kokios bus galutinės `front` ir `back` rodyklių reikšmės?","front = 4, back = 3","front = 0, back = 5","front = 2, back = 1","front = 2, back = 7","C",""
"Cikliniame duomenų buferyje, stebint įvesties srautą, staiga `write pointer` (įrašymo rodyklė) ir `read pointer` (skaitymo rodyklė) sutampa ir tampa lygios. Ką ši būsena natūraliai signalizuoja skaitmeninei sistemai (darant prielaidą, kad perpildymo neįvyko)?","Buferis pasiekė absoliučiai maksimalią talpą, ir sekanti įrašymo operacija ištrins seniausius neperskaitytus duomenis.","Sistema automatiškai perėjo į V-Sync vertikalios sinchronizacijos režimą, kad užkirstų kelią ekrano plyšimo (tearing) efektui.","Kompiuterio magistralė užfiksavo techninį gedimą ir duomenų buferio perkrovimas yra neišvengiamas.","Buferis šiuo momentu yra visiškai tuščias, todėl algoritmas neturi jokių naujų elementų nuskaitymui.","D",""
"Kurie iš žemiau išvardintų komponentų ar inžinerinių mechanizmų kompiuterio architektūroje atlieka buferio funkciją? (Pasirinkite visus teisingus atsakymus)","Spartinančioji atmintis (Cache), skirta pakartotinių to paties adreso instrukcijų skaičiavimui išlaikyti.","Konvejerio veikimą optimizuojantis ciklo buferis (Loop buffer).","Programavimo kalbose naudojami Įvesties/Išvesties abstrakciniai srautai (pvz., `ifstream` ar `getline()` C++ kalboje).","Registras MDR (Memory Data Register), tarpininkaujantis tarp operatyviosios atminties ir procesoriaus.","B,C,D",""
"Kodėl Vertimo retrospektyvusis buferis (TLB - Translation Look-aside Buffer) techniškai ir inžineriškai NĖRA laikomas tikruoju duomenų buferiu, nepaisant jo tradicinio pavadinimo?","TLB iš esmės veikia kaip spartinančioji atmintis (cache), skirta asociatyviai pasiekti fizinių puslapių vertimus, o ne kaip FIFO eilė duomenų srauto eiliškumui išlaikyti.","TLB naudoja išskirtinai programinės įrangos bibliotekas operacinėje sistemoje, o tikrieji buferiai kompiuteriuose gaminami tik iš aparatūrinių tranzistorių.","TLB struktūra neturi skaitymo (read) rodyklės, o informacija joje modifikuojama atsitiktiniu principu remiantis V-Sync atnaujinimais.","Tai yra apsaugos modulis, užkertantis kelią kodo atakoms virtualiojoje atmintyje, todėl jis nekaupia duomenų ilgiau nei vieną milisekundę.","A",""
"Nagrinėjant prasto C++ programinio kodo pavyzdį (`char buffer[64]; strcpy(buffer, argv[1]);`), kokia fundamentali programavimo klaida iššaukia sisteminį buferio perpildymo (buffer overflow) pažeidžiamumą?","Kompiliatorius nesugeba priskirti 64 baitų dinaminės reikšmės rodyklei `argv[1]`, todėl įvyksta avarija jau programos starto metu.","`strcpy` funkcija mechaniškai ir aklai kopijuoja atkeliaujančią simbolių eilutę, visiškai ignoruodama 64 baitų rezervą masyve ir neleistinai perrašydama gretimas ląsteles.","Simbolių masyvas yra per smulkus ir nesusidorojęs su greičio disbalansu jis sukuria ciklinės eilės rodyklių koliziją aparatūroje.","V-Sync technologija šiame kodo fragmente blokuoja kintamųjų įrašymą, todėl į ekraną neišvedami teksto baitai.","B",""
"Kokia yra svarbiausia ir akivaizdžiausia dvigubo buferio (double buffering) naudojimo vizualinė paskirtis monitorių ir grafinių procesorių technologijose?","Priversti vaizdo plokštę dirbtinai sukurti ir interpoliuoti papildomus pikselius prastuose video įrašuose, siekiant 120Hz dažnio.","Kopijuoti visą vaizdą į operatyviąją atmintį tam, kad CPU galėtų pakeisti GPU įrenginį visuose 3D grafikos skaičiavimuose be atsilikimo.","Sumažinti fizinį ekrano šviesumą apribojant spalvų paletę tik 'Back buffer' matricoje numatytomis tamsiomis spalvomis.","Visiškai užkirsti kelią vaizdo mirgėjimui (flickering) ir objektų formavimosi artefaktams ekrane, parodant vartotojui tik pilnai sugeneruotą kadrą.","D",""
"Kaip tarpusavyje logiškai sąveikauja 'Front buffer' ir 'Back buffer' klasikinėje dvigubo buferizavimo sistemoje atliekant kadrų generavimą? (Pasirinkite visus teisingus atsakymus)","'Back buffer' matrica yra paskiriama nematomam, foniniam grafikos elementų skaičiavimui bei sluoksnių piešimui.","'Front buffer' visada saugo ir reprezentuoja išskirtinai tik tą užbaigtą kadrą, kuris esamuoju momentu transliuojamas į ekraną.","Abu buferiai dirba padalinimo principu, kur 'Front buffer' skaičiuoja kairę ekrano pusę, o 'Back' skaičiuoja dešinę.","'Back buffer' po kiekvieno kadro neatsistato ir kaupia senų kadrų likučius tam, kad sistema galėtų bet kada grįžti laiku atgal video peržiūrose.","A,B",""
"Kuo efektyvi puslapių keitimo (page flipping) technika technologiškai pranašesnė už ankstyvąjį tradicinį vaizdo duomenų kopijavimą tarp buferių zonų?","Užuot resursams imliai kopijavus megabaitus pikselių informacijos, valdiklis tiesiog pakeičia atminties rodyklę (pointer), buvusį 'Back buffer' paverčiant naujuoju 'Front buffer'.","Sistema pasitelkia virtualios atminties atšakas, todėl vaizdo kopijavimas tampa žaibiškas naudojant TLB adresaciją.","Ši technika reikalauja, kad visas kadro piešimas būtų perleistas atlikti pačiam monitoriui, o vaizdo plokštė atjungiama nuo proceso taupant energiją.","Ši technika visiškai eliminuoja V-Sync funkcijos poreikį sistemoje pridedant aparatinį ciklo buferį (Loop buffer).","A",""
"Koks specifinis nepageidaujamas fenomenas atsiranda monitoriuje, jei vaizdo plokštė (GPU) veikia, pavyzdžiui, 120 FPS greičiu, monitorius atsinaujina 60 Hz dažniu, o jokia kadrų sinchronizacijos technologija nėra aktyvuota?","Stiprus ekrano mirgėjimas (flickering), kadangi monitorius nesugeba dekoduoti vaizdo magistralėje siunčiamų 'Back buffer' komandų.","Ekrano plyšimas (screen tearing) – kai per vieną monitoriaus atnaujinimo ciklą ekrane parodoma riba ir nesutapimas tarp kelių skirtingų kadrų dalių.","FPS kritimas ir programos sulėtėjimas (stuttering), kadangi vaizdo plokštė visiškai sustabdo kadrų siuntimą pamačiusi lėtesnį monitoriaus prievadą.","Momentinis 'Mėlynasis mirties ekranas' (BSOD) dėl magistralės perkrovos vaizdo duomenimis po buferio perpildymo kodo bloko.","B",""
