"QUESTION","ANSWER_A","ANSWER_B","ANSWER_C","ANSWER_D","ANSWERS","IMAGE"
"Kuris iš šių teiginių teisingai apibūdina Intel 8086 procesoriaus adresų magistralę ir maksimalią adresuojamą atmintį?","16 bitų adresų magistralė – galima adresuoti 64 KB","20 bitų adresų magistralė – galima adresuoti 1 MB","24 bitų adresų magistralė – galima adresuoti 16 MB","32 bitų adresų magistralė – galima adresuoti 4 GB","B","https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Intel_C8086.jpg/220px-Intel_C8086.jpg"
"Koks buvo pagrindinis Intel i386 (80386) architektūrinis žingsnis, palyginti su 8086?","Atsirado konvejeris (pipeline)","Tapo pirmuoju 32 bitų procesoriumi su virtualia atmintimi","Duomenų magistralė išplėsta iki 64 bitų","Atsirado L2 spartinančioji atmintis","B",""
"Kokia yra pagrindinė IA-32 architektūros sinoniminių pavadinimų x86 ir i386 kilmė?","x86 – pagal pirmąjį 64 bitų procesorių; i386 – pagal Intel 386 lustą","x86 – pagal pirmąjį personalinio kompiuterio procesorių 8086; i386 – kadangi IA-32 pirmą kartą pritaikyta 80386 procesoriuje","x86 – pagal Intel korporacijos pavadinimą; i386 – pagal laikrodžio dažnį 386 MHz","x86 ir i386 yra visiškai skirtingos architektūros ir neturi nieko bendra","B",""
"Pentium IV procesorius dažnai veikė lėčiau nei Pentium III nepaisant aukštesnio laikrodžio dažnio. Kokios dvi pagrindinės priežastys nurodomos paskaitoje?","Mažiau branduolių ir nebuvo SSE instrukcijų","Per ilgas konvejeris (20 pakopų) ir perkaitimo problema","Nebuvo L2 spartinančiosios atminties ir per maža duomenų magistralė","Nepalaikė 64 bitų operacijų ir trūko Hyper-Threading","B",""
"Kurie iš šių teiginių apie Intel Itanium (IA-64) architektūrą yra teisingi?","Itanium buvo visiškai nauja architektūra, nesuderinama su x86","Itanium greitai ir efektyviai paleido x86 programas","x86 programos Itanium veikė per emuliacĳą ir itin lėtai","Itanium buvo pirmasis 64 bitų procesorius ir skirtas aukščiausios klasės serveriams","A,C,D",""
"Pateiktos instrukcijos formato schemoje (Instruction Prefixes | Opcode | ModR/M | SIB | Displacement | Immediate) – ką nurodo SIB baito laukai Scale, Index ir Base?","Instrukcijos prefiksų skaičių, opkodo ilgį ir registro numerį","Atminties adreso apskaičiavimo formulę: (Index × 2^Scale) + Base","Operandų dydį baitais, duomenų poslinkį ir tiesioginę reikšmę","Registro tipą (bendros paskirties, segmentų ar FPU)","B","https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Ia32-tut-opb.png/320px-Ia32-tut-opb.png"
"Kokia IA-32 instrukcija atliekama šiuo kodu: `OR EAX, [ECX + EDX*2 + 406080A0h]`?","EAX registro reikšmė logiškai OR-inama su reikšme, esančia atminties adrese ECX + EDX×2 + 406080A0h","EAX priskiriama reikšmė iš atminties adreso EDX","ECX registras didinamas 2 kartus ir pridedama konstanta","EAX ir ECX registrai susumuojami ir rezultatas įrašomas į EDX","A",""
"Kurios iš šių IA-32 instrukcijų priklauso duomenų judėjimo (data transfer) grupei? Pasirinkite visus teisingus atsakymus.","ADD, SUB, MUL","MOV, XCHG","CMP, TST","BSWAP, MOVCC","B,D",""
"Kodėl IA-32 architektūroje negalimos tiesioginės memory-to-memory operacijos (pvz., ADD [mem1], [mem2])?","Nes atmintis yra per lėta bet kokioms operacijoms","Nes IA-32 instrukcijų formatas leidžia tik vieną atminties operandą vienoje instrukcijoje","Nes tokios operacijos yra galimos – tai klaidingas teiginys","Nes atmintis adresuojama tik per segmentų registrus","B",""
"Kiek bendrosios paskirties 32 bitų registrų turi IA-32 architektūra pagal paskaitos klasifikaciją ir kaip jie vadinami?","4 registrai: EAX, EBX, ECX, EDX (tik akumuliatoriaus grupė)","8 registrai: EAX, EBX, ECX, EDX, ESI, EDI, ESP, EBP","6 registrai: EAX, EBX, ECX, EDX, ESI, EDI (be steko rodyklių)","16 registrų: R0–R15 (kaip MIPS architektūroje)","B","https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Register_set_of_IA-32_architecture.svg/400px-Register_set_of_IA-32_architecture.svg.png"
"Registro EAX struktūroje egzistuoja daliniai registrai AX, AH ir AL. Kokio dydžio kiekvienas iš jų ir kaip jie sutampa su EAX?","AX – 32 bitai, AH – 16 bitų, AL – 8 bitai","AX – 16 bitų (žemieji EAX bitai 15–0), AH – aukštieji 8 bitai AX (15–8), AL – žemieji 8 bitai AX (7–0)","AX – 24 bitai (viduriniai EAX bitai), AH ir AL – po 4 bitus","AX, AH ir AL yra atskiri nepriklausomi registrai be jokio sutapimo","B",""
